simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
1,1,1,0.4567516,0.45306,0.0000,0.46194,0.46194,0.0000,0.9186916,0.915,0.9999681056644735,0.9186622989418642
2,1,1,0.45860256,0.454896,0.0000,0.45936,0.45936,0.0000,0.91796256,0.914256,0.9999993191581549,0.9179619350126769
3,1,1,0.45773152,0.454032,0.0000,0.46044,0.46044,0.0000,0.91817152,0.914472,0.9999912983852497,0.9181635304251583
4,1,1,0.457296,0.4536,0.0000,0.4605,0.4605,0.0000,0.917796,0.9141,0.9999878132640612,0.9177848150625022
5,1,1,0.45664272,0.452952,0.0000,0.46158,0.46158,0.0000,0.91822272,0.914532,0.9999710887486423,0.9181961730321397
6,1,1,0.45255972,0.448902,0.0000,0.46542,0.46542,0.0000,0.91797972,0.914322,0.9998037772092491,0.9177995914574889
7,1,1,0.45876588,0.455058,0.0000,0.45972,0.45972,0.0000,0.91848588,0.914778,0.9999989209028092,0.9184848888644671
8,1,1,0.4594736,0.45576,0.0000,0.459,0.459,0.0000,0.9184736,0.91476,0.9999997341174004,0.9184733557938516
9,1,1,0.45724156,0.453546,0.0000,0.46074,0.46074,0.0000,0.91798156,0.914286,0.9999854763880202,0.9179682275920179
10,1,1,0.45898364,0.455274,0.0000,0.45912,0.45912,0.0000,0.91810364,0.914394,0.9999999779407596,0.918103619747331
1,2,2,0.46078016,0.457056,0.0151,0.48906,0.48906,0.0039,0.94984016,0.946116,0.9991143379588088,0.948998922625089
2,2,2,0.45816704,0.454464,0.0110,0.49368,0.49368,0.0000,0.95184704,0.948144,0.998609934389716,0.9505239101634454
3,2,2,0.46611528,0.462348,0.0105,0.48528,0.48528,0.0004,0.95139528,0.947628,0.9995943917472048,0.9510093862227615
4,2,2,0.4513076,0.44766,0.0100,0.50148,0.50148,0.0000,0.9527876,0.94914,0.9972347464320455,0.9501529006895971
5,2,2,0.45245084,0.448794,0.0098,0.50058,0.50058,0.0000,0.95303084,0.949374,0.9974561209745256,0.9506064448354938
6,2,2,0.45392072,0.450252,0.0106,0.498,0.498,0.0001,0.95192072,0.948252,0.9978603772733945,0.9498839687935614
7,2,2,0.61560752,0.610632,0.0098,0.32334,0.32334,0.0004,0.93894752,0.933972,0.9116685344323708,0.8560089094673092
8,2,2,0.46660524,0.462834,0.0082,0.4854,0.4854,0.0011,0.95200524,0.948234,0.9996103939839568,0.9516343330311913
9,2,2,0.44526476,0.441666,0.0102,0.50778,0.50778,0.0000,0.95304476,0.949446,0.9957156932132263,0.948961623866633
10,2,2,0.46393768,0.460188,0.0129,0.48714,0.48714,0.0001,0.95107768,0.947328,0.9994051979607717,0.9505119770564715
1,3,3,0.44717016,0.443556,0.0183,0.51612,0.51612,0.0001,0.96329016,0.959676,0.9949027853321518,0.9583800632670542
2,3,3,0.45070876,0.447066,0.0185,0.51234,0.51234,0.0000,0.96304876,0.959406,0.9959212203422064,0.9591206963082486
3,3,3,0.42359764,0.420174,0.0274,0.53742,0.53742,0.0064,0.96101764,0.957594,0.9861661662644174,0.9477230817512781
4,3,3,0.53672396,0.532386,0.0176,0.42096,0.42096,0.0013,0.95768396,0.953346,0.9855986756072386,0.9438920426262957
5,3,3,0.42267216,0.419256,0.0193,0.5418,0.5418,0.0008,0.96447216,0.961056,0.9849730278778949,0.9499790637391335
6,3,3,0.53345756,0.529146,0.0188,0.42372,0.42372,0.0001,0.95717756,0.952866,0.9870265814159652,0.9447596948548749
7,3,3,0.4578404,0.45414,0.0221,0.50346,0.50346,0.0017,0.9613004,0.9576,0.9977529758930602,0.9591403348271892
8,3,3,0.52082748,0.516618,0.0211,0.43692,0.43692,0.0000,0.95774748,0.953538,0.9923830925835291,0.9504524061164816
9,3,3,0.4376976,0.43416,0.0230,0.52452,0.52452,0.0024,0.9622176,0.95868,0.991924017177109,0.9544467471905166
10,3,3,0.45816704,0.454464,0.0196,0.504,0.504,0.0014,0.96216704,0.958464,0.9977360307879585,0.9599887234445988
1,4,4,0.50335224,0.499284,0.0267,0.45984,0.45984,0.0039,0.96319224,0.959124,0.9979633728236966,0.9612305765080115
2,4,4,0.38663288,0.383508,0.0302,0.5832,0.5832,0.0008,0.96983288,0.966708,0.9605411942683921,0.9315644327959542
3,4,4,0.51658116,0.512406,0.0290,0.4464,0.4464,0.0004,0.96298116,0.958806,0.9947167043466627,0.9578934458231263
4,4,4,0.44303272,0.439452,0.0364,0.51966,0.51966,0.0089,0.96269272,0.959112,0.9937042339001996,0.9566318318088993
5,4,4,0.44052848,0.436968,0.0377,0.5229,0.5229,0.0063,0.96342848,0.959868,0.992743084439214,0.9564369608717836
6,4,4,0.4461358,0.44253,0.0301,0.51942,0.51942,0.0035,0.9655558,0.96195,0.9942724176728932,0.9600254996640845
7,4,4,0.5179966,0.51381,0.0388,0.44184,0.44184,0.0007,0.9598366,0.95565,0.9937440248988119,0.953831886129191
8,4,4,0.44210724,0.438534,0.0296,0.52482,0.52482,0.0001,0.96692724,0.963354,0.9927357447707158,0.9599032337404926
9,4,4,0.5179966,0.51381,0.0403,0.43926,0.43926,0.0091,0.9572566,0.95307,0.993280015469561,0.9508238504563394
10,4,4,0.51946648,0.515268,0.0292,0.44256,0.44256,0.0022,0.96202648,0.957828,0.9936498325200167,0.9559174507318212
1,5,5,0.47542452,0.471582,0.0365,0.49164,0.49164,0.0005,0.96706452,0.963222,0.9997189221454013,0.9667926995794598
2,5,5,0.42582968,0.422388,0.0507,0.53856,0.53856,0.0064,0.96438968,0.960948,0.9865202335390676,0.9513899323362667
3,5,5,0.417827,0.41445,0.0424,0.55008,0.55008,0.0021,0.967907,0.96453,0.981672201722398,0.9501673957525211
4,5,5,0.42724512,0.423792,0.0557,0.5334,0.5334,0.0146,0.96064512,0.957192,0.9879362346834281,0.9490561227198099
5,5,5,0.40824556,0.404946,0.0388,0.56148,0.56148,0.0015,0.96972556,0.966426,0.9756385005624855,0.9461015913155165
6,5,5,0.39811972,0.394902,0.0449,0.57036,0.57036,0.0021,0.96847972,0.965262,0.9693405223114965,0.9387866376328919
7,5,5,0.43405012,0.430542,0.0512,0.5295,0.5295,0.0075,0.96355012,0.960042,0.9902823513437654,0.9541866784711672
8,5,5,0.43154588,0.428058,0.0422,0.53532,0.53532,0.0051,0.96686588,0.963378,0.9886113760458796,0.9558546080786102
9,5,5,0.49464184,0.490644,0.0391,0.46986,0.46986,0.0036,0.96450184,0.960504,0.9993402576556132,0.9638655172949131
10,5,5,0.4970372,0.49302,0.0452,0.46602,0.46602,0.0023,0.9630572,0.95904,0.9989637828897228,0.9620592636511842
1,6,6,0.41935132,0.415962,0.0545,0.5466,0.5466,0.0074,0.96595132,0.962562,0.9829421593109285,0.9494742762700417
2,6,6,0.510375,0.50625,0.0518,0.45192,0.45192,0.0063,0.962295,0.95817,0.9963235617816274,0.9587571818846512
3,6,6,0.46039908,0.456678,0.0532,0.50358,0.50358,0.0083,0.96397908,0.960258,0.9979974747247032,0.9620486875274427
4,6,6,0.45288636,0.449226,0.0505,0.51342,0.51342,0.0031,0.96630636,0.962646,0.9960910246642534,0.9625290922719849
5,6,6,0.42359764,0.420174,0.0621,0.53844,0.53844,0.0141,0.96203764,0.958614,0.9859500428750497,0.9485210524054117
6,6,6,0.45952804,0.455814,0.0574,0.50328,0.50328,0.0085,0.96280804,0.959094,0.997939276489509,0.9608239588358822
7,6,6,0.40590464,0.402624,0.0540,0.56244,0.56244,0.0023,0.96834464,0.965064,0.9745339275617003,0.9436847052525208
8,6,6,0.4638288,0.46008,0.0557,0.49842,0.49842,0.0107,0.9622488,0.9585,0.9987093881963249,0.9610069103406479
9,6,6,0.46078016,0.457056,0.0642,0.49776,0.49776,0.0172,0.95854016,0.954816,0.9985138470054109,0.9571156226707821
10,6,6,0.46742184,0.463644,0.0611,0.49398,0.49398,0.0080,0.96140184,0.957624,0.9992374737818055,0.9606687458907796
1,7,7,0.35614648,0.353268,0.0812,0.60612,0.60612,0.0163,0.96226648,0.959388,0.9367826707130972,0.9014345630720911
2,7,7,0.5071086,0.50301,0.0641,0.4539,0.4539,0.0063,0.9610086,0.95691,0.9969438138813698,0.9580715788567957
3,7,7,0.494043,0.49005,0.0550,0.47052,0.47052,0.0052,0.964563,0.96057,0.9994056175112834,0.9639896806435361
4,7,7,0.43350572,0.430002,0.0659,0.53034,0.53034,0.0087,0.96384572,0.960342,0.9900073283186785,0.9542143261685931
5,7,7,0.39643208,0.393228,0.0670,0.57042,0.57042,0.0048,0.96685208,0.963648,0.9686326923472272,0.9365245333519167
6,7,7,0.43339684,0.429894,0.0644,0.53172,0.53172,0.0055,0.96511684,0.961614,0.9897277023527262,0.9552028725551237
7,7,7,0.52839464,0.524124,0.0632,0.43206,0.43206,0.0039,0.96045464,0.956184,0.9900398945864418,0.950888410540659
8,7,7,0.55006176,0.545616,0.0613,0.40974,0.40974,0.0047,0.95980176,0.955356,0.9790732329448196,0.9397162121493278
9,7,7,0.43541112,0.431892,0.0599,0.53094,0.53094,0.0039,0.96635112,0.962832,0.9903222146692157,0.956998981306477
10,7,7,0.44706128,0.443448,0.0660,0.51792,0.51792,0.0009,0.96498128,0.961368,0.9946369306914167,0.9598060185138746
1,8,8,0.39289348,0.389718,0.0876,0.56856,0.56856,0.0108,0.96145348,0.958278,0.967695705698248,0.9303944038246363
2,8,8,0.46263112,0.458892,0.0615,0.50418,0.50418,0.0013,0.96681112,0.963072,0.9981565386994533,0.9650288411153418
3,8,8,0.51233484,0.508194,0.0672,0.44958,0.44958,0.0029,0.96191484,0.957774,0.9957618464692187,0.9578380972245432
4,8,8,0.4006784,0.39744,0.0684,0.56814,0.56814,0.0000,0.9688184,0.96558,0.9709891733949482,0.9407121773858163
5,8,8,0.38254988,0.379458,0.0717,0.58626,0.58626,0.0015,0.96880988,0.965718,0.9576591984419109,0.927789693123404
6,8,8,0.43704432,0.433512,0.0710,0.52812,0.52812,0.0024,0.96516432,0.961632,0.9911742355526288,0.9566460070586729
7,8,8,0.58474004,0.580014,0.0679,0.37254,0.37254,0.0046,0.95728004,0.952554,0.953163922968874,0.9124447983062006
8,8,8,0.51179044,0.507654,0.0711,0.4491,0.4491,0.0028,0.96089044,0.956754,0.9957615191046054,0.9568177242274927
9,8,8,0.47379132,0.469962,0.0698,0.489,0.489,0.0052,0.96279132,0.958962,0.999750534578247,0.9625511368572961
10,8,8,0.47341024,0.469584,0.0745,0.40686,0.40686,0.2892,0.88027024,0.876444,0.9943168123551694,0.87526749904792
